,Brand Name,Name of the Product,Rating,No. of Ratings,Price,Return/Exchange,Expected Delivery,Availability,Other Details,Product URL
10,Visit the JUAREZ Store,"Juarez Acoustic Guitar, 38 Inch Curved Body Cutaway, 38CUR with Bag, Strings, Pick and Strap, Black",4 out of 5,"2,198 ratings",-,7 Days Replacement,-,In stock.,"Jumbo Design, 38 Inch Acoustic Steel String Guitar, Black Glossy Finish, Number of Frets: 18
Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway
Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings
Great looks with an innovative design to produce good quality sound
Package Includes : Acoustic Guitar with strap, Bag, Strings and 2 Picks",https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B076QHZ4HZ/ref=sr_1_8?keywords=Guitars&qid=1656388220&sr=8-8
11,Visit the JUAREZ Store,"JUAREZ JRZ38C Right Handed Acoustic Guitar with Bag, Strings, Pick and Strap (Natural, 6 Strings)",3.9 out of 5,"3,478 ratings",-,7 Days Replacement,-,In stock.,"Number of Frets: 18
Acoustic guitar with strap, bag, strings and 2 picks
Great looks with an innovative design to produce quality sound
Finger Board: Linden wood
Fretboard: Ebony wood
Size: 38 inches, cutaway
Linden binding and full wood construction with geared tuning, wood frame and steel strings",https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Natural-Strings/dp/B01FYYTDWC/ref=sr_1_9?keywords=Guitars&qid=1656388220&sr=8-9
12,Visit the Intern Store,Intern INT-38C Sunburst Acoustic Guitar kit with carry bag & picks,3.8 out of 5,"1,947 ratings",-,7 Days Replacement,-,In stock.,"Great looks with an innovative design to produce quality warm bright resonant tone
Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design, String Material: Nickel
Combo includes Guitar, quality and durable carry bag with extra pockets and comfort handle, Intern Plectrums
Linden binding and maximum wood construction with geared tuning, wood frame and steel strings
Sturdy box package with multiple plies plus instrument wrap ensure that guitar reaches you as it is just out of the factory with no damages or scratches
Bag with stylish nylon made and long lasting material
Country of Origin: China",https://www.amazon.in/Intern-INT-38C-Sunburst-Acoustic-Guitar/dp/B07X1J4D3Z/ref=sr_1_10?keywords=Guitars&qid=1656388220&sr=8-10
13,Visit the JUAREZ Store,"Juarez Acoustic Guitar Kit, 38 Inch Cutaway, 38C with Bag, Strings, Pick and Strap, 3TS Sunburst",4 out of 5,"5,117 ratings",-,7 Days Replacement,-,In stock.,"Black glossy finish, number of frets: 18, acoustic guitar with strap, bag, strings and 2 picks , Great looks with an innovative design to produce sound
Product Dimensions: 96 x 43 x 12 cm ,Item Weight: 2 Kg
Finger board: Linden wood, fretboard - Ebony wood, size: 38 inches, cutaway
Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks
Linden binding and full wood construction with geared tuning, wood frame and steel strings",https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_11?keywords=Guitars&qid=1656388220&sr=8-11
14,Brand: Revel,Revel 38 Inches Cutaway Design Acoustic Guitar with Carry bag and Plectrums. Great tone and Beginner/Learners standard size configuration for all age groups (Natural),5 out of 5,3 ratings,-,7 Days Replacement,-,In stock.,"Great looks with an innovative design for easy in playing and learning. Easy access to all notes and flexible grip for all posters and heights
Best woods combination with basswood, linden and engineered wood used to produce vibrant rich tone
Includes: 38-inch acoustic guitar with bag and 3 picks
1 year warranty",https://www.amazon.in/Revel-RVL-38C-LGP-NT-Linden-Acoustic-Natural/dp/B085HVRHPS/ref=sr_1_12?keywords=Guitars&qid=1656388220&sr=8-12
15,Visit the Kadence Store,"Kadence Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set of Strings, Strap, Picks and Bag (Black EQ, Electric Acoustic)",4 out of 5,"1,190 ratings","₹5,499.00",7 Days Replacement,-,,"★ Design - The High Gloss finish, Simple head design, Streamlined Cutaway Curvature makes the head and the body integrated, beautiful.
★ Size (40 inch) - Suitable for the guitarist over 10 years old, especially the beginners, students or adults.
★ Quality Strings -The surface is coated with a bronze coating which doest rust easliy and prolongs the use of the strings.
★ Adjustable Action - Built-in truss rod helps balance the tension caused by strings or temperature change, for a straight and durable neck.
★ Bridge - The Indian Rosewood bridge has high hardness, strong vibration conductivity, stable and rich tone transmission.
★ Semi Acoustic - Built-in preamp for amplified use with volume control, 4 band EQ: bass, mid, treble and press.
★ Accessories - Strap, Strings, Picks and Bag Included.",https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B078GTJP5Y/ref=sr_1_13?keywords=Guitars&qid=1656388220&smid=AM04Z7MH4HSDD&sr=8-13
16,Visit the Intern Store,Intern 38C Cutaway Design Black Acoustic Guitar with Picks & Carry Bag,3.8 out of 5,"1,947 ratings",-,7 Days Replacement,-,In stock.,"Great looks with an innovative design to produce quality warm bright resonant tone
Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design
Combo includes Guitar, quality and durable carry bag with extra pockets and comfort handle, Intern Plectrums
Linden binding and maximum wood construction with geared tuning, wood frame and steel strings
Sturdy box package with multiple plies plus instrument wrap ensure that guitar reaches you as it is just out of the factory with no damages or scratches
Bag with stylish nylon made and long lasting material
Country of Origin: China",https://www.amazon.in/Intern-38-inch-Cutaway-Design-Acoustic/dp/B07X4PN85R/ref=sr_1_14?keywords=Guitars&qid=1656388220&sr=8-14
17,Visit the JUAREZ Store,"Juarez JRZ-ST01 6-String Electric Guitar, Right Handed, Full Black, with Case/Bag and Picks",4 out of 5,231 ratings,-,7 Days Replacement,-,In stock.,"Number of Frets: 18
Great looks with an innovative design to produce quality sound
Fingerboard: Linden wood
Fretboard: Ebony wood
Size: Cutaway, 38 inches
Linden binding and full wood construction with geared tuning, wood frame and steel strings
Chrome die cast machine head",https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOGM/ref=sr_1_15?keywords=Guitars&qid=1656388220&sr=8-15
18,Visit the Intern Store,"Intern INT-38C-BK-G Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Black, 6 Strings)",4 out of 5,"1,350 ratings",-,7 Days Replacement,-,In stock.,"38 inches cutaway revolutionary design and configuration to produce marvellous sound
Hi gloss black color finish. String Material : Nickel
Guitar bundled with accessories like smart strap, bag, strings set and 3 picks
Easy to hold for stress-free playing and ultra-portable
Quality linden wood soundboard for unsurpassed resonance",https://www.amazon.in/Intern-INT-38C-BK-G-Guitar-Kit-Black/dp/B07K9497RC/ref=sr_1_16?keywords=Guitars&qid=1656388220&sr=8-16
19,Visit the Intern Store,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Natural",4 out of 5,"10,366 ratings",-,7 Days Replacement,-,In stock.,"Great looks with an innovative design to produce good quality sound
Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design. Number of Frets 18
Natural glossy finish with 18 frets
Includes: 38-inch acoustic guitar with strap, bag, string set and 3 picks
Linden binding and full wood construction with geared tuning, wood frame and steel strings",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Natural/dp/B073B4D22T/ref=sr_1_17?keywords=Guitars&qid=1656388220&sr=8-17
